Div,commence,HomeTeam,AwayTeam,collected_at,market,side,book,odds_bet,fair_p,pinnacle_odds,ev_pre
MLB,2026-07-06T18:11:00Z,Kansas City Royals,Philadelphia Phillies,2026-07-06T19:55,h2h,A,winamax_fr,1.41,0.6623,1.49,-0.0661
MLB,2026-07-06T22:41:00Z,Tampa Bay Rays,New York Yankees,2026-07-06T19:55,h2h,H,unibet_fr,1.87,0.5053,1.94,-0.0552
MLB,2026-07-06T22:41:00Z,Tampa Bay Rays,New York Yankees,2026-07-06T19:55,h2h,A,unibet_fr,1.9,0.4947,1.98,-0.06
MLB,2026-07-06T22:41:00Z,Tampa Bay Rays,New York Yankees,2026-07-06T19:55,h2h,H,betclic_fr,1.87,0.5053,1.94,-0.0552
MLB,2026-07-06T22:41:00Z,Tampa Bay Rays,New York Yankees,2026-07-06T19:55,h2h,A,betclic_fr,1.9,0.4947,1.98,-0.06
MLB,2026-07-06T22:41:00Z,Tampa Bay Rays,New York Yankees,2026-07-06T19:55,h2h,H,winamax_fr,1.86,0.5053,1.94,-0.0602
MLB,2026-07-06T22:41:00Z,Tampa Bay Rays,New York Yankees,2026-07-06T19:55,h2h,A,winamax_fr,1.9,0.4947,1.98,-0.06
MLB,2026-07-06T22:46:00Z,Washington Nationals,Houston Astros,2026-07-06T19:55,h2h,H,betclic_fr,1.81,0.5223,1.88,-0.0547
MLB,2026-07-06T22:46:00Z,Washington Nationals,Houston Astros,2026-07-06T19:55,h2h,A,betclic_fr,1.97,0.4777,2.05,-0.0588
MLB,2026-07-06T22:46:00Z,Washington Nationals,Houston Astros,2026-07-06T19:55,h2h,H,unibet_fr,1.81,0.5223,1.88,-0.0547
MLB,2026-07-06T22:46:00Z,Washington Nationals,Houston Astros,2026-07-06T19:55,h2h,A,unibet_fr,1.97,0.4777,2.05,-0.0588
MLB,2026-07-06T22:46:00Z,Washington Nationals,Houston Astros,2026-07-06T19:55,h2h,H,winamax_fr,1.8,0.5223,1.88,-0.0599
MLB,2026-07-06T22:46:00Z,Washington Nationals,Houston Astros,2026-07-06T19:55,h2h,A,winamax_fr,1.96,0.4777,2.05,-0.0636
MLB,2026-07-06T23:16:00Z,Atlanta Braves,New York Mets,2026-07-06T19:55,h2h,H,unibet_fr,1.75,0.543,1.81,-0.0498
MLB,2026-07-06T23:16:00Z,Atlanta Braves,New York Mets,2026-07-06T19:55,h2h,A,unibet_fr,2.05,0.457,2.14,-0.0631
MLB,2026-07-06T23:16:00Z,Atlanta Braves,New York Mets,2026-07-06T19:55,h2h,H,betclic_fr,1.75,0.543,1.81,-0.0498
MLB,2026-07-06T23:16:00Z,Atlanta Braves,New York Mets,2026-07-06T19:55,h2h,A,betclic_fr,2.05,0.457,2.14,-0.0631
MLB,2026-07-06T23:16:00Z,Atlanta Braves,New York Mets,2026-07-06T19:55,h2h,H,winamax_fr,1.74,0.543,1.81,-0.0552
MLB,2026-07-06T23:16:00Z,Atlanta Braves,New York Mets,2026-07-06T19:55,h2h,A,winamax_fr,2.05,0.457,2.14,-0.0631
MLB,2026-07-06T23:46:00Z,St. Louis Cardinals,Milwaukee Brewers,2026-07-06T19:55,h2h,H,betclic_fr,1.88,0.5053,1.94,-0.0501
MLB,2026-07-06T23:46:00Z,St. Louis Cardinals,Milwaukee Brewers,2026-07-06T19:55,h2h,A,betclic_fr,1.89,0.4947,1.98,-0.0649
MLB,2026-07-06T23:46:00Z,St. Louis Cardinals,Milwaukee Brewers,2026-07-06T19:55,h2h,H,unibet_fr,1.88,0.5053,1.94,-0.0501
MLB,2026-07-06T23:46:00Z,St. Louis Cardinals,Milwaukee Brewers,2026-07-06T19:55,h2h,A,unibet_fr,1.89,0.4947,1.98,-0.0649
MLB,2026-07-06T23:46:00Z,St. Louis Cardinals,Milwaukee Brewers,2026-07-06T19:55,h2h,H,winamax_fr,1.88,0.5053,1.94,-0.0501
MLB,2026-07-06T23:46:00Z,St. Louis Cardinals,Milwaukee Brewers,2026-07-06T19:55,h2h,A,winamax_fr,1.88,0.4947,1.98,-0.0699
MLB,2026-07-07T01:41:00Z,San Diego Padres,Arizona Diamondbacks,2026-07-06T19:55,h2h,H,unibet_fr,1.77,0.5313,1.85,-0.0596
